,diasourceid,ssobjectid,mag,filter,heliocentricdist,topocentricdist,eclipticbeta
2931,1596854496472856190,741228960308361526,20.474169,y,1.7673747267268112,0.8303952509655296,-8.165140892822663
2932,8595953912864963380,-1446656103341670909,20.057169,i,1.8182464611540496,0.9827747306709245,-35.62777279003425
2933,-1310998399323015034,3525308224941861149,19.380869,y,1.8311936226141712,0.8437438124896299,-7.444686896927433
2934,5273923541658696775,3525308224941861149,19.40253,y,1.8311366851532456,0.8437107098200571,-7.438726400255524
2935,-3440410846425928917,3525308224941861149,19.34719,y,1.8311351004461554,0.8437097937247855,-7.438563791315772
2936,3206250339910158444,3525308224941861149,19.386559,y,1.8310781817978063,0.8436770738822831,-7.432598758237145
2937,1360075426589785848,4956758625515471171,18.225485,z,1.9860867926042944,1.0646217809852399,-5.389657815618095
2938,8767695670682704765,7112064029401495489,21.731411,y,1.9196583809374825,0.9324117774198898,2.1556264929352094
2939,1510122522577635742,7112064029401495489,21.589613,y,1.9196561412895026,0.9324425956251011,2.1563594237692465
2940,-94692014994298244,3263536939768428974,19.994368,z,1.964170163719718,1.3055857828805235,-32.54310669791952
2941,5799792649600830286,-1694481708409924440,20.07949,y,1.9889635062627105,1.0023235330221156,-13.39525178821559
2942,713280073867124015,-1694481708409924440,20.070868,y,1.9889738996932689,1.00233637760094,-13.393336008750616
2943,8147069514499030011,-3337218772919805225,19.89086,y,1.9498591618067662,0.962609021741479,7.801388620581213
2944,1927240802228411297,-3337218772919805225,19.907314,y,1.9498668006920803,0.9626440693798632,7.802633724202891
2945,2166017912560459155,-4268434869203490185,19.356459,i,1.9901862478107264,1.4328810416265494,2.130813450636997
2946,-6080054406561432914,-4268434869203490185,19.398352,z,1.9901927306438605,1.4330493648252491,2.1311621756782992
2947,4181566011757054101,-5408330154801537663,17.123945,y,1.9666952076045954,0.9694163518059727,5.794387866859162
2948,-9173857514212238561,1934257490046826161,22.362778,r,1.7983009201123994,1.3072134026683264,-23.74334534956314
2949,1556330144132850262,-8687715948417830679,19.875658,i,1.9946066755716605,1.6520784005719333,-0.18858246448374708
2950,9164231923107712525,-8687715948417830679,19.907368,z,1.9945959961094295,1.6522423531133466,-0.18925404855670794
2951,-5450364691384618481,-5408330154801537663,17.11209,y,1.9666023722993642,0.9692897256056171,5.791821851820395
2952,-3175190788868247840,-5408330154801537663,17.11662,y,1.9666251869421387,0.9693202718104948,5.7924463883723005
2953,5286210505391065095,-2493539420502142215,23.086473,i,1.9819746908330664,1.1336651172309897,-2.218884324099492
2954,7615574010595115680,-7399781454990090843,19.472292,z,1.980566581467772,1.1878791195062766,-7.863093678446006
2955,-7726366495167781067,-7399781454990090843,19.464243,y,1.980584546866171,1.1880245187810543,-7.8619953804145215
2956,-2345943298455911004,3525308224941861149,19.374441,y,1.8310198831822388,0.8436439224923065,-7.426488738245227
2957,-7101024731584492103,3525308224941861149,19.359053,y,1.8309634205672973,0.8436121488656981,-7.420561400823057
2958,4939871234400659099,7247572871539586170,17.050972,y,1.8789036400782746,0.8877437454974141,9.737342887720846
2959,4292025692405112041,236089809052341958,18.338223,z,1.8292201211643553,0.9482184952944057,10.297668862343855
2960,-6126977749312436528,6182055204702227084,21.312288,z,1.9250814362535171,1.3757086184951315,7.9216151129635675
2961,496588231009977898,3198767391389293002,22.122509,i,1.9860427650495316,1.3689352461487516,4.943793329507317
2962,7124256235276848781,3198767391389293002,22.21915,z,1.9860337623647557,1.3690846172596864,4.943353628000199
2963,5839521351181094540,8281283756842488960,20.250734,i,1.9681689394416209,1.1240357462045516,0.874597693190782
2964,1410574759714814733,8281283756842488960,20.348162,z,1.9681754171819033,1.124160476756807,0.8735984272450363
2965,137845307733941638,8482455496381519460,19.054564,y,1.9610883808499542,0.9762669725049422,-4.870449396544929
2966,-101798828028121638,236089809052341958,18.284578,i,1.8292225759311043,0.9481261047438393,10.298547809509017
2967,4602455315239239596,-3712525949408338977,21.90604,r,1.9023702265811333,1.307900046513358,-16.083540370636236
2968,9175935290642682150,4393015402843739156,19.664637,z,1.9321076513619972,1.033300041917277,10.332127291787888
2969,-4187579444871304185,4396945377392778667,21.14723,y,1.9132340289759413,1.5173063963894367,-28.13246697662767
2970,-5919810699065747621,4516742153117608809,19.020987,z,1.9135337339795357,1.020143757219489,-3.3103392136157925
2971,8137375858368011957,4516742153117608809,19.005404,y,1.9135075365358454,1.0202180514855457,-3.3116957350500082
2972,-5545369235833242200,4642534215393641332,20.752245,y,1.8815067543950097,1.7980336445090654,6.907541837362984
2973,9007068632934208536,8236342462307667657,24.155819,r,1.8561189047907034,1.0709955432571023,-32.232359271670546
2974,-951215116030771758,-4947570309557878032,21.106411,y,1.9308154010150118,0.9329172321344943,0.8216555086290681
2975,5405795501803109245,-2771287052703704335,21.1227,y,1.9671640851694445,2.0046407308235525,21.66357671958013
2976,1293374391367508102,-1232050595758694088,20.49907,y,1.7085389232247665,1.2156426079159488,-34.663015542578506
2977,3222959248436999880,-3043371619290122921,23.234138,r,1.9132998897252018,1.2811435563471982,-14.114331947329084
2978,1654882593908043767,868695529119705110,20.06964,y,1.9023214341014056,1.7573263119796558,-15.576328195838022
2979,2396571306754750659,8264406177526213856,21.110926,i,1.9652505823461743,1.05592877693583,0.8875197053166745
2980,6667577212360154403,8881820783948308839,20.050539,i,1.9292196941556594,1.4905852720846846,5.645971505137803
2981,-1900386055338967943,8624443835448314686,21.064184,y,1.9779324476623859,1.0492078046105662,0.22166276502798876
