,diasourceid,ssobjectid,midpointtai,mag,filter,heliocentricx,heliocentricy
9664,9064360487329263369,-2546366013305971099,60042.19464260849,21.402384,y,-1.9211307844644256,-0.5046626475079685
9665,2828616432830844524,5998536419224364227,60042.189722764226,21.274702,y,-1.8315748393238624,-0.23984472651810151
9666,1325231638481371327,8549398223476058092,60042.07097259067,21.225492,i,-1.8311510995072817,0.2716543319143727
9667,7386462861238415412,-7720883839907920955,60042.074675071744,22.523567,i,-1.8910272598909135,0.2856616287874328
9668,-4299905840139263043,5207977168285194080,60042.226402788416,20.713587,y,-1.928701461689269,-0.4091572194663936
9669,3800710723334535397,5207977168285194080,60042.241356276485,20.900326,y,-1.9286623013311068,-0.4093362323752494
9670,3043106728923065548,-6700523604985881161,60042.20832896462,21.945557,y,-1.9435361869391559,-0.36353308647658994
9671,4277971892018073396,5857658975818013814,60042.20474974343,22.02041,y,-1.673758595044153,-0.2660779373423441
9672,-9022628532059381263,4104820316954306820,60042.072856408384,22.472841,i,-1.910751906661989,0.31921877177367325
9673,4291152447534941406,7345340277337596750,60042.22550772144,20.599379,y,-1.8801002773462663,-0.4743818651678935
9674,-2615509664670658259,7345340277337596750,60042.240462001966,20.640617,y,-1.8799988582064364,-0.47452290092161287
9675,-6373232242719309135,-7821769477518728927,60042.18066863685,21.843904,y,-1.9530125787860588,-0.1748120069842472
9676,-4843475670667923664,4653550349184912133,60042.1892727168,20.662169,y,-1.8798006751608842,-0.22661487992367293
9677,6853988997560818330,-8133506043928847006,60042.177943414485,21.390999,y,-1.9326400152872303,-0.05243720969835935
9678,-6971168042778783095,-964406094175755356,60042.23194325197,21.783237,y,-1.8271123342587592,-0.31368694831060856
9679,-519819679802463200,-2546366013305971099,60042.20966958916,21.585314,y,-1.9210852605596527,-0.5048453332352566
9680,-638916556881197151,-4075095721855475663,60042.226402788416,20.72971,y,-1.9290339716947522,-0.4094563046438063
9681,-6676301279474937447,6431961613464939114,60042.20009748922,21.896082,y,-1.6670064122597632,-0.39921071767650945
9682,1635453678936154312,-8703412838393719302,60042.002332970544,22.27416,i,-1.4738093083830723,1.086723305385176
9683,3550386546637443613,-8703412838393719302,60042.01841876423,22.041245,z,-1.4739641240333448,1.0865842066969222
9684,-4908333305741884594,5128842700189505491,60042.13673845406,21.209568,i,-1.9834441353156904,-0.0012154495141018945
9685,2492868255912436353,-2582405391193282812,60042.198704470946,20.170591,y,-1.8060867988989588,-0.3382612884181191
9686,-5437023276258668542,-2493761315164956826,60042.184716189,20.794561,y,-1.9893852024890748,0.013695360918865898
9687,3989942602605732360,1756359560536885736,60042.213271489134,21.75427,y,-1.8627411604055484,-0.350978633896297
9688,132428968513545364,5531065526253214151,60042.10483229926,21.027367,z,-1.5847760539546254,-0.11366266610564896
9689,-8350512451833659167,-4101275573628096480,60042.135843422395,21.185038,i,-1.9206532725830545,-0.09027286342455464
9690,2254450775969236674,7953793667422591827,60042.17749705245,21.936258,y,-1.9113022315333161,-0.04475540155468532
9691,319727710503826395,-8547152350824898369,60042.09249702891,21.419767,z,-1.753124180904237,0.34474219828241454
9692,-5212318010262333824,8145502246910282089,60042.16176850602,20.7179,z,-1.9022897345788108,-0.08272852644688128
9693,4628602060223885144,8273370491785505566,60042.18017538333,22.14457,y,-1.9428811504068704,-0.051532842632355184
9694,-5480519170300287535,-6416615487256552917,60042.22461085828,22.029537,y,-1.8578089444532415,-0.410841431940075
